url,title,api_id,warnings
"https://www.food.com/recipe/nopalitos-con-huevos-breakfast-tacos-218735","Nopalitos Con Huevos Breakfast Tacos","food_com:nopalitos-con-huevos-breakfast-tacos-218735",""
"https://www.food.com/recipe/best-albondigas-soup-107281","Best Albondigas Soup","food_com:best-albondigas-soup-107281",""
"https://www.food.com/recipe/horchata-531745","Horchata","food_com:horchata-531745",""
"https://www.food.com/recipe/guacamole-34233","Restaurant Guacamole","food_com:guacamole-34233",""
"https://www.food.com/recipe/sopa-de-lima-merida-yucatan-234689","Sopa De Lima (Merida, Yucatan)","food_com:sopa-de-lima-merida-yucatan-234689",""
"https://www.food.com/recipe/pico-de-gallo-33861","Chunky Pico De Gallo","food_com:pico-de-gallo-33861","defaulted_instructions_placeholder"
"https://www.food.com/recipe/mexican-tamarind-cooler-agua-de-tamarindo-63391","Mexican Tamarind Cooler (Agua de Tamarindo)","food_com:mexican-tamarind-cooler-agua-de-tamarindo-63391",""
"https://www.food.com/recipe/3-ingredient-carnitas-531161","3-Ingredient Carnitas","food_com:3-ingredient-carnitas-531161",""
"https://www.food.com/recipe/caldo-de-pollo-mexican-chicken-stew-soup-115511","Caldo De Pollo--mexican Chicken Stew/soup","food_com:caldo-de-pollo-mexican-chicken-stew-soup-115511",""
"https://www.food.com/recipe/romaldos-carnitas-25621","Romaldo's Carnitas","food_com:romaldos-carnitas-25621",""
"https://www.food.com/recipe/classic-caesar-salad-370618","Classic Caesar Salad","food_com:classic-caesar-salad-370618",""
"https://www.food.com/recipe/corn-tortillas-50820","Corn Tortillas","food_com:corn-tortillas-50820",""
"https://www.food.com/recipe/chapulines-532691","Chapulines","food_com:chapulines-532691",""
"https://www.food.com/recipe/lupita-s-tlayudas-532007","Lupita's Tlayudas","food_com:lupita-s-tlayudas-532007",""
"https://www.food.com/recipe/oaxacan-wedding-cake-532005","Oaxacan Wedding Cake","food_com:oaxacan-wedding-cake-532005",""
"https://www.food.com/recipe/tacos-al-pastor-532012","Tacos Al Pastor","food_com:tacos-al-pastor-532012",""
"https://www.food.com/recipe/marcos-fish-wrapped-in-hoja-santa-532013","Marco's Fish Wrapped in Hoja Santa","food_com:marcos-fish-wrapped-in-hoja-santa-532013",""
"https://www.food.com/recipe/jaime-s-chorizo-enchiladas-532014","Jaime's Chorizo Enchiladas","food_com:jaime-s-chorizo-enchiladas-532014",""
"https://www.food.com/recipe/estella-s-mole-poblano-chicken-532008","Estella's Mole Poblano Chicken","food_com:estella-s-mole-poblano-chicken-532008",""
"https://www.food.com/recipe/blue-corn-mushroom-and-cheese-quesadillas-532009","Blue Corn, Mushroom and Cheese Quesadillas","food_com:blue-corn-mushroom-and-cheese-quesadillas-532009",""
"https://www.food.com/recipe/rosalia-sr-s-pollo-pipian-532001","Rosalia Sr.'s Pollo Pipian","food_com:rosalia-sr-s-pollo-pipian-532001",""
"https://www.food.com/recipe/home-style-habanero-hot-sauce-531999","Home-Style Habanero Hot Sauce","food_com:home-style-habanero-hot-sauce-531999",""
"https://www.food.com/recipe/relleno-negro-black-turkey-stew-532000","Relleno Negro (Black Turkey Stew)","food_com:relleno-negro-black-turkey-stew-532000",""
"https://www.food.com/recipe/emiliano-s-tuna-machaca-531988","Emiliano's Tuna Machaca","food_com:emiliano-s-tuna-machaca-531988",""
"https://www.food.com/recipe/barbacoa-537759","Barbacoa","food_com:barbacoa-537759",""
"https://www.food.com/recipe/joses-torta-ahogada-spicy-pork-sandwich-531997","Jose's Torta Ahogada (Spicy Pork Sandwich)","food_com:joses-torta-ahogada-spicy-pork-sandwich-531997",""
